"GroupCode","Company","AccidentYear","DevelopmentYear","Lag","CumulativeIncurred","CumulativePaid","IBNR","DirectEP","CededEP","NetEP","Single","Reserve1997"
7080,"New Jersey Manufacturers Grp",1997,1997,1,216437,43962,95552,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,1998,2,202104,77007,66647,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,1999,3,212211,99457,72238,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2000,4,202755,114615,57917,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2001,5,194917,126485,44212,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2002,6,190408,134249,36231,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2003,7,186160,140671,29511,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2004,8,179091,144865,19742,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2005,9,183066,148577,21316,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2006,10,182479,151027,19948,262329,1068,261261,0,1090093
